P,E,Q
0.04137931,5.520689655,0.101122775
0.093103447,5.470689655,0.094081041
4.096551689,5.601724138,0.037034304
1.75000001,5.618965517,0.041659245
0.187931036,5.639655172,0.045380063
1.439655169,5.594827586,0.050700484
0.362068963,5.670689655,0.053517177
0.279310344,5.760344828,0.115067147
0,6.067241379,0.119918119
0,6.284482759,0.106721388
0,6.127586207,0.09628919
0.184482761,5.922413793,0.090029871
2.232758628,5.656896552,0.086934986
0.574137934,5.993103448,0.080901698
0.239655175,5.439655172,0.086934986
1.670689643,5.620689655,0.090029871
1.724137933,5.748275862,0.106721388
4.093103469,5.553448276,0.099453624
6.932758565,5.85,0.096306577
1.901724118,5.493103448,0.096306577
5.037931034,6.255172414,0.160586305
1.810344813,5.560344828,0.009701944
3.786206894,5.972413793,0.040268285
1.908620694,5.424137931,0.077998069
0.931034476,5.732758621,0.083057685
0.615517256,5.125862069,0.06346254
1.810344835,5.348275862,0.089334391
7.184482793,5.674137931,0.119865958
0.353448277,5.646551724,0.112180905
1.932758607,5.793103448,0.10486098
2.577586227,6.096551724,0.10486098
0.151724138,6.155172414,0.100409908
0.287931038,6.20862069,0.06346254
3.71896555,6.374137931,0.114928051
2.627586202,6.167241379,0.148467568
6.71724141,6.877586207,0.098532113
0.00862069,6.310344828,0.073842577
0.370689661,6.924137931,0.082118787
2.548275852,6.593103448,0.090029871
0.353448273,6.320689655,0.087247952
0.277586206,6.493103448,0.071477945
0.179310342,6.334482759,0.071477945
5.641379298,6.405172414,0.07978893
0.094827586,5.398275862,0.088847555
0.632758623,6.453448276,0.088847555
0.944827589,6.474137931,0.088847555
0.620689666,6.524137931,0.08013667
0.94310345,6.787931034,0.069374119
4.643103498,5.796551724,0.069374119
15.01724134,6.910344828,0.069374119
0.118965517,4.687931034,0.069374119
4.33448273,5.137931034,0.077337363
1.296551711,4.803448276,0.086934986
1.786206885,4.94137931,0.086934986
0.45517241,5.034482759,0.086934986
1.534482783,5.55862069,0.086934986
0.039655173,5.589655172,0.069217636
0.017241379,5.605172414,0.058733276
0.589655168,5.410344828,0.058733276
1.175862074,5.386206897,0.068017933
11.2637932,5.112068966,0.068017933
21.0189655,4.651724138,0.086934986
37.10000011,4.096551724,0.086934986
77.91034485,2.694827586,0.104130726
12.34137929,3.194827586,0.132349822
2.420689655,3.768965517,1.711680319
4.112068988,4.04137931,3.865738007
4.453448297,4.393103448,4.389573456
5.450000045,4.384482759,3.412528539
6.065517248,4.351724138,3.142421539
1.184482734,4.620689655,2.965595777
0.584482759,4.65862069,2.514890039
3.27931033,4.762068966,2.233168524
5.844827594,4.468965517,2.798715379
3.391379338,4.934482759,2.777207664
0.717241384,4.805172414,1.748697236
10.94655166,5.015517241,1.483076081
31.10000006,4.34137931,1.270954716
25.79655202,3.234482759,1.10927303
6.725862114,3.224137931,2.18328523
3.512068973,3.465517241,2.636477309
2.901724139,4.079310345,2.750536011
12.50517244,4.494827586,3.692041905
15.43103427,4.415517241,3.109594888
10.01896549,4.25,2.945774602
14.75517237,4.810344828,2.832898216
33.81724134,4.305172414,2.560044069
25.01551717,3.1,2.432023611
5.398275865,2.874137931,3.135084227
4.193103461,3.527586207,4.65792437
7.213793041,4.1,5.260296885
8.477586187,4.403448276,4.653108171
12.48275865,3.94137931,4.802288607
6.162068975,3.467241379,4.289546062
8.024137852,3.762068966,3.212247719
10.93275869,3.703448276,3.076037985
23.61551725,3.677586207,4.157352722
15.83275854,3.831034483,4.662897051
16.93965507,3.579310345,4.489200948
5.550000028,3.462068966,6.062341676
12.76551726,3.506896552,7.271242199
13.06724135,3.737931034,6.574875577
9.829310313,3.867241379,6.91739942
6.205172385,3.768965517,8.363163005
13.93275862,3.89137931,8.493443775
39.75862073,3.686206897,8.925458492
35.15689653,3.331034483,8.646240705
60.85517173,3.087931034,8.777130019
31.51551731,2.924137931,12.1716804
17.38620699,3.113793103,11.60201283
8.562068837,3.175862069,14.52162
7.987931037,3.281034483,20.45846233
2.577586225,3.477586207,25.36314296
1.575862063,3.805172414,34.17228244
5.320689644,3.806896552,35.56146874
14.39999993,4.081034483,30.19926666
21.84655168,3.603448276,18.56753946
19.25862075,3.577586207,11.07014459
12.87931029,3.206896552,9.403757397
5.722413781,4.15,11.52384089
6.227586211,3.55,11.09996329
1.156896553,4.227586207,10.16384736
2.429310354,4.110344828,10.94019417
4.010344806,4.032758621,8.625637114
7.206896536,3.939655172,6.234855462
10.96551717,3.970689655,5.309571635
24.72931048,3.803448276,4.466128404
22.21896553,3.187931034,4.688177745
4.675862088,3.579310345,4.6693824
5.613793157,3.734482759,4.150276214
17.15172413,3.374137931,4.913078552
14.74137937,3.115517241,5.215438433
26.90172395,3.34137931,6.917242936
18.09655183,2.979310345,6.868733215
9.625862085,3.215517241,9.374790659
12.91379298,3.046551724,11.42197048
10.6793104,3.232758621,11.46557706
8.070689648,3.044827586,12.18905001
3.281034464,3.60862069,13.4809039
3.581034465,3.806896552,12.97817627
9.601724158,3.468965517,11.39387309
11.80517252,3.706896552,10.21402624
2.553448295,3.513793103,10.08098093
17.83965514,3.644827586,8.770731606
15.84137944,3.386206897,7.813542639
9.560344873,3.218965517,8.134680476
19.97931027,3.189655172,9.147994669
7.394827601,3.175862069,9.56545647
2.181034488,3.532758621,11.27477216
1.186206886,3.344827586,13.41059088
4.549999977,3.522413793,12.46334728
14.9948276,3.994827586,11.42459591
23.29482757,3.531034483,9.755965797
10.7689655,3.086206897,8.777321276
8.743103455,3.144827586,7.915952052
5.079310363,3.279310345,8.511978313
5.324137974,3.556896552,8.884755533
0.729310348,3.475862069,11.28190083
1.465517254,3.646551724,10.38942626
8.360344719,3.725862069,9.134189393
13.02413793,3.331034483,9.320021618
13.07413793,3.418965517,9.935347446
17.36551727,2.732758621,9.781855037
66.61034482,3.087931034,9.003160982
68.46206917,2.424137931,12.57601502
14.13448272,2.587931034,15.29012527
4.274137922,2.968965517,10.17660942
5.129310349,3.25,11.38483185
4.777586209,3.368965517,14.61550979
4.103448277,3.363793103,15.42226645
1.101724141,3.479310345,13.23845961
1.017241376,3.694827586,8.878843953
1.067241372,3.796551724,6.303481939
0.951724136,3.806896552,5.676159082
0.108620689,3.632758621,5.401270658
0.127586207,3.855172414,4.815172372
0,4.04137931,3.683800468
0.289655176,3.934482759,2.913260916
0.655172407,3.9,2.539440478
0.667241375,4.043103448,2.168593217
0,3.720689655,2.081640845
0,3.768965517,2.192761142
0,3.60862069,2.140756635
0,3.598275862,1.841804606
0.820689683,3.496551724,1.583520763
8.703448248,3.679310345,1.37445951
9.118965562,3.224137931,1.569906745
7.179310262,2.931034483,1.939258725
6.455172432,2.703448276,2.048622937
5.587931001,3.184482759,1.877500111
0.158620691,3.329310345,1.751566091
0,3.410344828,1.660823353
0,3.501724138,0.919598278
1.022413789,3.689655172,0.890388123
0.013793104,3.812068966,0.89480442
0,3.825862069,0.863212246
0.072413792,3.581034483,0.816249967
0.01724138,3.122413793,0.85166728
0,3.394827586,0.830629014
0,3.94137931,0.795820246
0,3.801724138,0.655854919
0,3.667241379,0.659158448
0,3.665517241,0.738443155
0,3.74137931,0.738443155
0,3.805172414,0.395658507
0,3.768965517,0.363318692
0,3.520689655,0.30096892
0,3.543103448,0.380705689
0,3.60862069,0.371108067
0,3.518965517,0.376324166
0.206896551,3.503448276,0.695479885
0.041379311,3.339655172,0.778798375
0.003448276,3.486206897,0.419722111
0,3.386206897,0.338472673
0,3.432758621,0.278417985
0.587931037,3.527586207,0.580934348
1.737931041,2.863793103,0.597451995
0.079310344,2.624137931,0.582203599
0.012068966,3.306896552,0.575857345
0,3.387931034,0.48862678
0,3.50862069,0.556383908
0,3.477586207,0.543552304
0,3.510344828,0.556105716
